IPERE,Menage,M_AUTO,M_PERS,M_DOMSM,M_revenu,M_dist_train,M_dist_metro,M_dist_centre,M_emploiTC,P_RANG,P_SEXE,P_AGE,P_GRAGE,P_STATUT,P_PERMIS,D_HREDE,D_MOTIF
2097,1001323,2,3,119,6,3.1173513330000002,4.894756843,15.56248229,131840,2,2,42,9,1,1,830,1
2126,1001344,1,2,546,5,18.41106613,36.99275895,38.46630143,3125,1,2,67,14,1,1,830,1
2142,1001350,1,2,102,5,2.440599391,0.3731623775,2.440599391,736900,2,1,34,7,1,1,815,1
2240,1001424,1,7,121,3,2.239909078,0.2500592082,4.871240263,752195,1,2,17,4,3,2,810,4
2252,1001424,1,7,121,3,2.239909078,0.2500592082,4.871240263,752195,6,2,10,3,3,5,820,4
2294,1001456,3,3,511,3,26.431835019999998,31.33804266,35.04019111,7640,2,2,60,13,4,1,1000,4
2343,1001473,3,4,404,5,4.603470239,8.122525456,24.33625978,87955,3,2,20,5,3,1,730,4
2420,1001511,2,4,102,6,1.1502259959999999,0.6430201713,1.7138728300000001,718185,3,2,24,5,1,1,800,1
2414,1001511,2,4,102,6,1.1502259959999999,0.6430201713,1.7138728300000001,718185,1,1,67,14,2,1,1400,1
2437,1001516,1,2,111,5,7.673181495,0.49587952030000004,7.673181495,620850,2,2,54,11,1,1,730,1
2455,1001536,0,2,107,1,2.785667441,0.4391424385,8.263515821999999,899370,2,2,36,8,2,2,900,1
2557,1001576,2,7,114,2,13.58567907,7.80914297,19.31167908,74480,6,2,8,2,3,5,1250,4
2574,1001582,2,5,130,3,1.435553984,13.02993224,18.26752943,139805,5,1,6,2,3,5,745,4
2583,1001594,5,3,132,5,2.4190770980000003,12.769226710000002,23.412847239999998,37465,2,2,37,8,1,1,800,1
2642,1001630,2,4,405,2,0.9215939056,5.786159274,18.972667979999997,116865,1,1,40,9,2,1,700,1
2658,1001633,1,3,136,4,6.342861646,20.14533525,30.788955780000002,4005,3,1,8,2,3,5,800,4
2674,1001643,2,4,631,4,5.257150159,21.470717540000003,36.28126438,15650,2,1,35,8,1,1,630,1
2684,1001645,2,4,522,6,3.140105418,20.47178883,25.70249555,31665,2,2,36,8,1,1,630,1
2716,1001660,2,2,309,4,12.25330618,12.227887189999999,17.824599279999997,24880,2,2,50,11,1,1,630,1
2778,1001701,3,2,127,6,9.552744556,11.88641761,13.359960090000001,182785,1,1,54,11,1,1,730,1
2811,1001717,1,5,522,3,2.735704503,20.506026140000003,25.73673287,1725,4,2,9,2,3,5,730,4
2809,1001717,1,5,522,3,2.735704503,20.506026140000003,25.73673287,1725,3,1,11,3,3,5,730,4
2818,1001719,4,3,661,3,1.805458348,35.11984647,51.33243151,24625,3,1,17,4,3,1,841,4
2846,1001738,2,3,523,2,3.795195957,28.30754649,33.53825321,11350,2,1,47,10,1,1,1530,1
2950,1001782,2,3,544,3,3.495928005,18.807011579999998,20.280554069999997,14020,3,2,6,2,3,5,750,4
2954,1001787,1,1,112,2,9.789981667,0.5463648963000001,9.789981667,573895,1,2,60,13,1,1,730,1
2978,1001806,2,2,306,6,2.718476386,5.987117414,8.837038474000002,77345,2,1,59,12,1,1,700,1
2996,1001825,2,2,309,5,13.70636311,11.97979772,17.40791521,24860,1,2,53,11,1,1,1900,1
3033,1001844,1,2,406,2,3.602078072,3.227460066,17.09815307,185925,1,1,60,13,1,2,625,1
3071,1001857,4,5,611,3,27.532674609999997,17.278873230000002,28.86509761,34480,2,1,46,10,1,1,930,1
3184,1001927,2,3,127,6,10.39325444,12.72692749,14.20046998,182785,2,1,55,12,1,1,930,1
3209,1001933,2,5,129,4,1.7359503319999998,9.037477302,14.05906907,34765,5,1,13,3,3,5,730,4
3424,1002052,1,3,406,2,1.9297055399999998,0.8043897627,13.30760424,615075,1,2,55,12,1,1,800,1
3476,1002078,1,5,105,8,2.218811713,0.7878362213000001,6.133809421,757050,5,2,61,13,1,1,1100,1
3509,1002097,1,2,302,7,6.286606133,5.601296141,11.19817333,45490,1,1,37,8,1,1,800,1
3523,1002117,0,1,111,1,5.885811706,0.2171668256,5.885811706,764140,1,2,59,12,1,1,755,1
3551,1002142,4,5,511,3,26.22542397,31.13163162,34.83378007,10105,4,2,63,13,1,1,700,1
3607,1002158,2,5,309,6,13.84600605,13.1993721,18.62748959,24880,2,1,40,9,1,1,800,1
3617,1002158,2,5,309,6,13.84600605,13.1993721,18.62748959,24880,5,2,6,2,3,5,750,4
3637,1002164,1,2,303,2,3.881968829,3.993387815,9.429645628,407885,2,2,56,12,1,1,700,1
3698,1002210,2,2,131,3,1.034018555,14.83714389,24.30654461,51180,1,2,74,15,4,1,1000,1
3710,1002228,1,2,105,3,3.0058558,0.33899279530000004,6.216787303,757050,2,1,52,11,1,1,800,1
3718,1002235,1,5,108,3,3.643787123,1.918726438,10.0453291,558070,5,2,14,3,3,5,725,4
3720,1002237,0,3,107,2,3.0814704980000003,0.5758238652,8.056615839000001,756640,1,2,50,11,1,2,1130,1
3797,1002275,1,2,105,4,1.1258957,1.02284445,5.687715132999999,611070,2,1,55,12,1,1,700,1
3816,1002288,1,1,112,2,13.705487499999998,2.129663731,13.705487499999998,247625,1,1,62,13,2,1,700,1
3828,1002300,3,2,110,5,6.443276367,1.926403358,8.205502877999999,630710,2,1,45,10,1,1,745,1
3865,1002316,2,4,112,4,9.467664796,0.6837634485999999,9.467664796,710365,1,1,60,13,1,1,830,1
3868,1002316,2,4,112,4,9.467664796,0.6837634485999999,9.467664796,710365,3,2,23,5,3,2,830,1
3900,1002326,3,4,643,5,3.490555585,16.59770838,32.81029342,38780,4,2,18,4,3,1,750,4
3929,1002346,3,3,623,5,22.70876467,23.61100564,33.64366132,8450,2,1,51,11,1,1,700,1
3998,1002383,2,2,121,6,0.9554295988,1.022579379,5.923506398000001,752195,1,2,53,11,1,1,800,1
4012,1002389,2,2,404,3,4.636279814000001,9.442365389,25.65609971,87955,2,1,58,12,1,1,1530,1
4015,1002390,1,2,661,2,2.651662443,36.38864227,52.60122732,28440,2,1,68,14,2,1,1130,1
4106,1002430,0,5,118,1,7.373349939,5.6403810309999995,14.443935600000001,83130,4,2,13,3,3,5,1150,4
4136,1002448,2,4,402,4,5.412163424,8.636377774,21.348248859999998,48605,3,2,21,5,3,2,1000,4
4134,1002448,2,4,402,4,5.412163424,8.636377774,21.348248859999998,48605,2,2,48,10,1,1,900,1
4144,1002450,3,5,521,4,13.841821079999999,19.56159045,23.70666437,5895,2,2,35,8,1,1,900,1
4159,1002462,4,2,544,2,1.243256258,21.40388036,23.59379825,9070,2,2,53,11,1,1,800,1
4173,1002478,4,4,402,3,5.29726991,8.550226127,21.304946479999998,48605,3,1,21,5,3,1,1800,4
4186,1002482,2,4,545,2,17.31307053,39.37802653,40.85156902,535,2,1,27,6,1,1,800,1
4216,1002516,1,5,117,2,8.151953207,2.8732747869999997,12.11368457,546575,1,1,38,8,1,1,1115,1
4232,1002516,1,5,117,2,8.151953207,2.8732747869999997,12.11368457,546575,5,2,7,2,3,5,800,4
4230,1002516,1,5,117,2,8.151953207,2.8732747869999997,12.11368457,546575,4,1,5,2,3,5,920,4
4246,1002523,2,4,542,4,8.133729923,14.10646112,16.29637901,4410,4,2,12,3,3,5,830,4
4293,1002549,2,5,623,5,19.95472489,25.61269626,35.64535194,4600,5,2,9,2,3,5,700,4
4299,1002557,1,1,304,3,1.77942374,2.048655014,6.783047273999999,477155,1,1,61,13,1,1,700,1
4324,1002581,1,2,103,2,3.8003322859999997,0.9227136633,6.099630344,525035,1,1,59,12,1,1,615,1
4338,1002584,1,2,661,2,2.770856397,36.7864788,52.99906385,29735,1,1,57,12,1,1,700,1
4393,1002613,3,4,408,5,3.111136737,8.786142744000001,21.32141358,5000,4,2,18,4,3,1,1645,1
4432,1002629,1,2,102,2,2.1498378,0.568037997,2.1498378,773395,1,2,28,6,3,1,1200,4
4459,1002633,2,3,123,6,3.3280760529999998,1.784718115,7.178637017,459675,2,1,64,13,1,1,1600,1
4479,1002647,2,4,531,5,9.8879721,20.22731268,25.824189859999997,2950,1,2,36,8,1,1,650,1
4487,1002650,1,2,131,4,0.9010678998,15.48322777,24.47914955,51180,1,1,61,13,1,1,612,1
4522,1002664,1,4,302,6,8.376961217,5.927768423000001,11.52464561,76835,1,2,40,9,7,1,1645,4
4545,1002668,3,4,544,2,1.83658347,20.874106039999997,23.064023929999998,9070,1,2,48,10,1,1,720,1
4557,1002668,3,4,544,2,1.83658347,20.874106039999997,23.064023929999998,9070,3,1,26,6,1,1,1415,1
4549,1002668,3,4,544,2,1.83658347,20.874106039999997,23.064023929999998,9070,1,2,48,10,1,1,1120,1
4641,1002720,1,4,106,2,3.7466304449999996,1.295431876,3.7466304449999996,642225,2,1,40,9,1,1,700,1
4674,1002728,2,4,404,6,5.723193567,10.511097379999999,26.18135256,48930,4,1,12,3,3,5,640,4
4676,1002729,1,1,310,4,3.484441146,16.96570905,22.334957409999998,30505,1,1,71,15,1,1,600,1
4745,1002777,2,4,308,7,6.302194216,9.804585997,12.420756299999999,199340,2,2,36,8,1,1,700,1
4754,1002780,3,3,406,5,3.215534816,1.444577695,13.69692741,425310,1,2,54,11,1,1,800,1
4782,1002799,4,5,633,4,8.819356082,25.58872006,39.43471888,1180,4,1,27,6,1,1,700,1
4887,1002847,3,4,612,4,39.842084840000005,29.58828346,41.17450784,14620,4,2,11,3,3,5,800,4
4911,1002859,2,2,308,7,7.024104717999999,9.918891965,13.142666810000001,199340,2,1,60,13,1,1,600,1
4972,1002873,1,4,107,6,3.384838367,0.8666513841,7.195957819999999,723025,4,2,5,2,3,5,830,4
5024,1002900,2,3,621,7,27.242597590000003,20.32962381,31.915848190000002,5515,3,1,21,5,3,1,630,4
5048,1002924,0,2,104,7,1.629208335,1.5945148139999998,5.872137437,640095,2,1,35,8,1,1,900,1
5094,1002944,3,4,511,7,34.45698199,40.43922888,44.14137732,805,1,2,53,11,1,1,730,1
5121,1002966,2,1,138,4,1.655784705,22.005981820000002,31.3981941,25265,1,2,56,12,1,1,830,1
5161,1003010,1,1,107,2,1.721821007,0.6763324139,5.870826067,770420,1,2,36,8,1,1,830,1
5241,1003060,3,5,108,4,3.787759788,7.094278892,17.61221068,127535,5,2,54,11,3,1,915,4
5247,1003061,1,4,308,5,9.177150488999999,12.56948863,14.75940652,13085,3,1,12,3,3,5,820,4
5271,1003079,0,1,103,3,3.638220221,0.9315054997,5.986757464,525035,1,2,53,11,1,2,800,1
5326,1003131,2,4,632,5,1.0645232,17.86068702,31.70668584,17895,2,2,54,11,1,1,730,1
5349,1003136,1,2,108,6,1.029284157,1.34700116,10.113005320000001,756290,2,1,58,12,1,1,800,1
5358,1003138,2,4,304,6,3.595416228,7.097808009,9.713978316999999,201500,1,1,35,8,1,1,900,1
5384,1003159,1,2,103,3,2.1098900130000002,0.5561570489,2.824767328,788915,2,1,39,8,1,1,600,1
5398,1003164,2,2,405,2,4.861961701,12.90311234,25.438383180000002,12545,2,2,56,12,1,1,700,1
5646,1003320,4,7,120,2,1.776056399,0.9522736786,7.9978205870000005,544840,7,1,16,4,3,2,730,4
5658,1003327,1,2,103,3,3.1833026540000002,1.227203486,5.365417278,485390,2,2,38,8,1,2,900,1
5680,1003332,2,5,651,4,7.554164295,25.095524089999998,41.30810913,1975,5,2,12,3,3,5,900,4
5758,1003401,0,2,107,4,2.43802695,0.07570967115,7.758208131,910910,1,2,40,9,1,1,533,1
5762,1003402,1,2,105,4,2.45120244,0.6793479083,6.077109884,744755,1,1,66,14,1,1,730,1
5832,1003438,1,5,130,8,0.5976949694,12.895537280000001,18.42606596,139805,5,2,12,3,3,5,755,4
5826,1003438,1,5,130,8,0.5976949694,12.895537280000001,18.42606596,139805,1,1,51,11,1,1,700,1
5874,1003472,2,4,404,5,7.392403206,9.679655165,25.00111951,23730,3,1,12,3,3,5,645,4
5950,1003535,2,6,643,7,4.039400591,16.972981700000002,33.18556674,20930,2,1,42,9,1,1,730,1
5954,1003535,2,6,643,7,4.039400591,16.972981700000002,33.18556674,20930,4,1,12,3,3,5,900,4
6001,1003544,2,4,531,3,13.15450244,17.42987137,23.02674855,295,4,1,11,3,3,5,800,4
6043,1003571,2,2,303,2,3.2892623640000003,5.253799484,10.76042606,65000,1,1,53,11,1,1,700,1
6085,1003605,1,2,103,3,2.937964941,0.6030464968,3.638490808,687490,1,1,38,8,1,1,830,1
6105,1003610,2,4,302,6,7.864017198,5.414824404,11.011701590000001,76835,2,1,20,5,3,1,700,4
6122,1003616,2,2,523,7,4.7908161410000005,29.58121517,34.81192189,8580,2,1,65,14,4,1,700,1
6134,1003618,2,4,661,4,4.094477418,36.74548573,52.95807077,2995,3,1,9,2,3,5,735,4
6140,1003623,2,4,645,2,14.379620880000001,29.232016169999998,41.76728701,3120,1,1,50,11,1,1,515,1
6148,1003623,2,4,645,2,14.379620880000001,29.232016169999998,41.76728701,3120,4,1,14,3,3,5,840,4
6211,1003690,2,3,107,5,3.647663096,1.2511252529999999,8.612319621000001,666755,1,1,58,12,1,1,800,1
6342,1003752,2,3,105,6,3.578494772,1.174826147,7.242069836,665090,2,1,56,12,1,1,1400,1
6402,1003768,2,5,131,6,1.5612192,16.479179499999997,24.329419129999998,27970,3,1,20,5,3,2,900,4
6406,1003768,2,5,131,6,1.5612192,16.479179499999997,24.329419129999998,27970,5,2,9,2,3,5,730,4
6429,1003797,1,3,131,4,0.6717294748,13.222766960000001,21.744651419999997,99045,1,2,51,11,1,1,800,1
6443,1003805,2,2,114,4,13.600589679999999,7.236075839,18.73861194,106410,2,2,27,6,1,1,700,1
6445,1003809,1,5,302,2,5.253180429,5.138916290999999,10.73579348,87190,1,2,33,7,1,1,1800,4
6488,1003823,1,1,127,4,4.927932054,0.9193249568999999,6.663970386,509855,1,1,52,11,1,1,800,1
6524,1003841,3,4,133,8,0.4523561358,12.02981954,22.58824784,67955,1,2,26,6,2,1,912,4
6547,1003864,4,4,523,5,3.3611909420000003,27.32862633,32.55933305,5190,1,1,56,12,1,1,830,1
6614,1003902,2,3,546,4,16.73057752,35.312270340000005,36.78581282,3125,2,1,27,6,1,1,600,1
6617,1003903,2,2,406,3,3.754253628,1.700808567,13.95315828,425310,1,2,47,10,1,1,730,1
6624,1003906,1,4,119,5,3.566324158,1.979580842,11.85907719,211060,2,1,52,11,1,1,900,1
6629,1003910,3,3,631,4,5.688804606,21.90237198,36.71291883,15650,1,2,45,10,1,1,610,1
6669,1003927,2,2,611,7,28.445871630000003,18.19207024,29.77829462,17120,1,2,56,12,1,1,530,1
6746,1003973,2,2,501,3,12.2627886,32.03575108,37.2664578,585,1,2,53,11,1,1,815,1
6802,1004028,1,3,545,3,17.26334153,39.32829753,40.80184001,535,1,1,43,9,1,1,630,1
6811,1004028,1,3,545,3,17.26334153,39.32829753,40.80184001,535,3,2,13,3,3,5,845,4
6809,1004028,1,3,545,3,17.26334153,39.32829753,40.80184001,535,2,1,15,4,3,5,630,4
6830,1004041,1,4,117,2,7.925711453,3.760327325,12.563881890000001,238710,4,2,5,2,3,5,840,4
6839,1004056,1,2,107,2,2.569512091,0.04154496135,7.471700719,789875,1,2,25,6,3,2,900,4
6842,1004057,2,5,404,8,3.932709214,6.951229625,23.16496394,39565,1,1,46,10,3,1,630,4
6856,1004057,2,5,404,8,3.932709214,6.951229625,23.16496394,39565,5,1,10,3,3,5,820,4
6872,1004062,2,5,137,5,3.954100141,17.25631443,27.89993496,19245,4,2,13,3,3,5,700,4
6878,1004063,2,4,309,4,15.43176015,14.12155486,19.54967235,22775,2,1,52,11,1,1,630,1
6908,1004074,2,2,136,5,4.076491122,15.41128802,25.96971632,15250,2,1,59,12,1,1,430,1
6937,1004091,0,1,118,2,8.219388536,6.554615171,16.08653351,184660,1,2,70,15,2,1,1315,1
6981,1004122,2,3,108,5,2.3483907079999997,3.508615208,12.92723012,151490,3,1,15,4,3,5,700,4
6983,1004124,1,1,402,3,4.140234553,9.628973807,23.59341597,31900,1,1,40,9,1,1,1500,1
7033,1004148,2,2,102,6,1.0827811779999998,0.7495242093000001,1.606465067,719905,2,1,47,10,1,1,730,1
7079,1004199,3,5,645,7,13.704531919999999,28.55692721,41.09219805,3120,3,1,20,5,1,1,800,1
7086,1004219,1,2,403,3,3.406490673,3.941258163,16.65631202,125680,1,1,31,7,1,1,515,1
7101,1004229,1,3,110,2,5.3643643270000005,2.3295195730000002,6.3068247060000004,577445,2,2,45,10,1,1,830,1
7110,1004230,3,3,642,1,2.4541990919999996,16.40711245,32.61969749,27555,2,1,63,13,1,1,800,1
7167,1004258,2,3,622,4,15.525195530000001,20.47648037,30.509136050000002,20590,1,1,49,10,1,1,800,1
7208,1004279,2,3,645,7,13.26446414,28.11685943,40.65213027,3120,2,2,38,8,1,1,700,1
7211,1004280,2,4,645,8,14.547996,29.400391289999998,41.93566213,3120,1,1,16,4,3,1,900,4
7220,1004282,1,2,106,3,4.357916081,0.7674953303,4.357916081,691810,2,1,30,7,1,1,800,1
7253,1004300,2,4,110,3,6.640716445,1.170012828,6.640716445,623530,2,1,37,8,1,1,814,1
7279,1004310,2,5,137,5,4.456981712,18.25945532,28.90307585,39210,4,2,7,2,3,5,745,4
7339,1004356,5,5,621,6,19.01677902,19.8038724,29.836528089999998,2550,3,2,18,4,3,1,630,4
7343,1004356,5,5,621,6,19.01677902,19.8038724,29.836528089999998,2550,5,2,14,3,3,5,700,4
7345,1004367,1,3,302,2,5.350338699,3.305479081,8.902356268,80775,1,2,27,6,1,1,700,1
7366,1004382,1,2,104,1,2.002030236,2.17325194,6.504679446,566610,1,1,57,12,1,1,600,1
7389,1004387,1,3,106,6,3.995247359,1.1660676639999998,3.995247359,665655,2,2,34,7,1,1,745,1
7427,1004410,0,2,118,2,5.892111751000001,4.074658312,12.909992399999998,427725,1,2,50,11,1,2,730,1
7459,1004424,2,2,128,5,6.0082349299999995,2.9338911739999998,9.12702881,379135,1,2,51,11,1,1,510,1
7494,1004439,2,4,403,3,2.8508226580000002,3.020918267,16.10064401,263410,4,2,22,5,3,2,800,4
7496,1004440,3,3,103,2,3.797170833,0.7887056721,5.9792854580000006,525035,1,1,57,12,1,1,700,1
7535,1004463,1,3,113,2,17.54260151,6.767829212,17.54260151,119240,3,1,16,4,3,2,730,4
7580,1004487,2,4,404,3,4.257192562,7.843357156,24.05709148,87955,4,1,11,3,3,5,730,4
7594,1004489,3,4,643,4,3.712681008,16.77318631,32.98577136,20930,3,2,17,4,3,1,810,4
7623,1004515,0,1,107,4,2.7163125129999997,0.35784875169999997,7.98880982,910910,1,1,80,16,1,1,700,1
7637,1004518,1,5,106,6,4.602884316,1.306378693,5.233405716999999,609575,3,2,13,3,3,5,815,4
7639,1004518,1,5,106,6,4.602884316,1.306378693,5.233405716999999,609575,4,1,16,4,3,2,815,4
7652,1004522,2,5,542,8,9.487036459999999,15.90547467,18.09539256,2895,3,2,16,4,3,2,830,4
7654,1004522,2,5,542,8,9.487036459999999,15.90547467,18.09539256,2895,4,1,43,9,1,1,1100,1
7658,1004523,2,4,108,4,3.1079337479999998,5.839823306,16.35775509,127535,1,1,21,5,3,1,730,1
7694,1004545,2,2,108,7,3.993947733,2.268887048,10.39548971,558070,1,2,30,7,1,1,830,1
7717,1004576,3,3,611,2,30.40162759,20.1478262,31.734050579999998,21660,2,2,42,9,1,1,925,1
7736,1004583,1,2,308,4,6.30914043,8.970325915,13.03383374,199340,1,2,40,9,1,1,650,1
7799,1004621,2,4,404,5,4.223298332000001,7.241818744000001,23.45555306,87955,2,2,39,8,1,1,745,1
7809,1004631,2,4,126,4,1.4530002899999999,5.153984921999999,9.957370155000001,414080,1,2,46,10,1,1,630,1
7815,1004631,2,4,126,4,1.4530002899999999,5.153984921999999,9.957370155000001,414080,4,1,6,2,3,5,640,4
7813,1004631,2,4,126,4,1.4530002899999999,5.153984921999999,9.957370155000001,414080,3,1,18,4,3,1,1230,4
7827,1004666,1,1,511,3,29.55608249,34.46229014,38.164438589999996,13565,1,1,52,11,1,1,715,1
7849,1004678,2,4,523,6,5.483534236000001,29.896397120000003,35.127103840000004,8580,1,2,41,9,1,1,640,1
7853,1004678,2,4,523,6,5.483534236000001,29.896397120000003,35.127103840000004,8580,3,2,11,3,3,5,800,4
7880,1004705,1,1,651,3,7.829861408,25.3712212,41.58380624,1975,1,2,51,11,1,1,700,1
